pH,Temperature,Red,Green,Blue,Liquid_Level,Max_Level,is_neutral_ph,is_optimal_temp,color_intensity,level_ratio,Valve_Status
8.53,59.16,229,19,68,82.65,100,0,0,105.33,0.83,0
7.19,98.85,108,64,21,32.0,100,1,0,64.33,0.32,0
8.65,39.36,50,7,92,89.55,100,0,0,49.67,0.9,0
4.9,73.77,181,255,246,38.92,100,0,1,227.33,0.39,0
5.38,80.93,7,237,194,1.08,100,0,0,146.0,0.01,0
4.7,39.01,26,143,75,90.54,100,0,0,81.33,0.91,0
5.96,78.26,26,141,153,9.13,100,0,1,106.67,0.09,0
6.25,49.42,225,203,143,31.93,100,0,0,190.33,0.32,0
5.72,70.58,20,114,178,95.01,100,0,1,104.0,0.95,0
8.23,70.68,29,214,228,95.06,100,0,1,157.0,0.95,0
6.11,62.86,96,142,85,57.34,100,0,1,107.67,0.57,0
5.76,27.22,27,91,184,63.18,100,0,0,100.67,0.63,0
6.94,86.82,110,97,28,44.84,100,1,0,78.33,0.45,0
5.13,45.66,191,65,205,29.32,100,0,0,153.67,0.29,0
8.11,34.92,224,31,219,32.87,100,0,0,158.0,0.33,0
4.84,23.26,196,214,68,67.25,100,0,0,159.33,0.67,0
8.94,67.27,251,190,46,75.24,100,0,1,162.33,0.75,0
7.98,74.21,60,85,240,79.16,100,0,1,128.33,0.79,0
5.39,21.33,47,50,93,78.96,100,0,0,63.33,0.79,0
4.52,60.97,146,152,237,9.12,100,0,1,178.33,0.09,0
8.17,38.12,3,185,189,49.44,100,0,0,125.67,0.49,0
7.68,71.61,34,62,243,5.76,100,0,1,113.0,0.06,0
7.78,33.95,191,189,196,54.95,100,0,0,192.0,0.55,0
7.97,75.28,48,124,203,44.15,100,0,1,125.0,0.44,0
4.83,50.94,255,149,143,88.77,100,0,0,182.33,0.89,0
6.11,94.94,16,57,217,35.09,100,0,0,96.67,0.35,0
5.02,31.0,171,57,217,11.71,100,0,0,148.33,0.12,0
8.38,47.29,219,85,175,14.3,100,0,0,159.67,0.14,0
7.3,29.08,157,48,84,76.15,100,1,0,96.33,0.76,0
5.99,93.98,220,179,38,61.82,100,0,0,145.67,0.62,0
4.79,90.19,45,169,99,10.11,100,0,0,104.33,0.1,0
5.9,40.64,116,69,32,8.41,100,0,0,72.33,0.08,0
5.96,72.8,5,14,253,70.1,100,0,1,90.67,0.7,0
7.78,85.38,98,53,221,7.28,100,0,0,124.0,0.07,0
7.37,64.42,123,234,100,82.19,100,1,1,152.33,0.82,1
8.49,62.37,232,187,22,70.62,100,0,1,147.0,0.71,0
6.62,39.35,36,100,249,8.13,100,1,0,128.33,0.08,0
5.04,27.45,23,224,9,8.48,100,0,0,85.33,0.08,0
7.71,91.78,92,7,245,98.66,100,0,0,114.67,0.99,0
7.92,92.03,240,52,68,37.43,100,0,0,120.0,0.37,0
7.03,70.65,45,59,99,37.06,100,1,1,67.67,0.37,1
7.97,47.12,180,235,33,81.28,100,0,0,149.33,0.81,0
6.72,47.94,94,107,179,94.72,100,1,0,126.67,0.95,0
6.85,78.08,98,4,222,98.6,100,1,1,108.0,0.99,0
6.42,91.77,187,102,137,75.34,100,0,0,142.0,0.75,0
4.61,90.97,224,195,249,37.63,100,0,0,222.67,0.38,0
4.99,82.39,115,5,146,8.35,100,0,0,88.67,0.08,0
